moderator,id_request,request_time,start_time,finish_time,team
165,159660,2020-09-24 7:01:16,2020-10-01 16:00:31,2020-10-01 16:02:02,retail
178,160116,2020-09-24 22:32:15,2020-10-01 13:21:42,2020-10-01 13:21:43,retail
187,160178,2020-09-25 2:58:13,2020-10-02 11:37:16,2020-10-02 11:41:56,wholesale
178,160306,2020-09-25 9:44:12,2020-10-02 7:23:09,2020-10-02 7:25:33,retail
178,163042,2020-09-30 15:56:08,2020-10-02 7:37:33,2020-10-02 7:47:57,retail
128,163426,2020-10-01 0:58:24,2020-10-01 7:07:31,2020-10-01 7:08:22,wholesale
128,163427,2020-10-01 1:02:20,2020-10-01 8:03:58,2020-10-01 8:06:52,wholesale
128,163428,2020-10-01 1:04:15,2020-10-01 7:09:57,2020-10-01 7:12:06,wholesale
128,163429,2020-10-01 1:07:15,2020-10-01 7:12:06,2020-10-01 7:13:15,wholesale
128,163431,2020-10-01 1:14:13,2020-10-01 7:16:04,2020-10-01 7:17:05,wholesale
173,163432,2020-10-01 1:34:24,2020-10-01 7:25:04,2020-10-01 7:25:48,retail
128,163437,2020-10-01 3:08:23,2020-10-01 7:17:06,2020-10-01 7:19:24,wholesale
128,163438,2020-10-01 3:34:28,2020-10-01 7:19:25,2020-10-01 7:22:06,wholesale
153,163440,2020-10-01 3:42:24,2020-10-01 8:00:28,2020-10-01 8:16:36,wholesale
153,163441,2020-10-01 3:46:18,2020-10-01 8:16:37,2020-10-01 8:20:16,wholesale
128,163444,2020-10-01 3:52:21,2020-10-01 7:22:06,2020-10-01 7:22:46,wholesale
153,163445,2020-10-01 3:52:21,2020-10-01 8:20:18,2020-10-01 8:22:14,wholesale
153,163446,2020-10-01 3:56:14,2020-10-01 8:22:14,2020-10-01 8:23:33,wholesale
128,163455,2020-10-01 4:56:13,2020-10-01 7:22:47,2020-10-01 7:25:47,wholesale
128,163456,2020-10-01 5:24:13,2020-10-01 7:25:55,2020-10-01 7:27:03,wholesale
128,163457,2020-10-01 5:24:13,2020-10-01 7:27:04,2020-10-01 7:28:17,wholesale
128,163458,2020-10-01 5:26:05,2020-10-01 7:28:18,2020-10-01 7:29:17,wholesale
128,163461,2020-10-01 5:34:11,2020-10-01 7:29:19,2020-10-01 7:31:51,wholesale
153,163465,2020-10-01 5:52:24,2020-10-01 8:23:34,2020-10-01 8:26:46,wholesale
187,163467,2020-10-01 6:00:27,2020-10-01 10:32:47,2020-10-01 10:42:51,wholesale
173,163468,2020-10-01 6:08:12,2020-10-01 7:26:37,2020-10-01 7:27:52,retail
173,163472,2020-10-01 6:36:25,2020-10-01 7:28:30,2020-10-01 7:29:33,retail
173,163473,2020-10-01 6:38:16,2020-10-01 7:29:34,2020-10-01 7:31:52,retail
173,163475,2020-10-01 6:41:19,2020-10-01 7:31:53,2020-10-01 7:32:15,retail
173,163476,2020-10-01 6:41:19,2020-10-01 7:32:18,2020-10-01 7:34:02,retail
173,163477,2020-10-01 6:41:19,2020-10-01 7:34:04,2020-10-01 7:34:57,retail
135,163478,2020-10-01 6:42:09,2020-10-01 9:11:28,2020-10-01 9:12:56,retail
128,163482,2020-10-01 6:46:22,2020-10-01 7:31:51,2020-10-01 7:32:15,wholesale
128,163486,2020-10-01 7:06:16,2020-10-01 7:32:16,2020-10-01 7:33:39,wholesale
153,163487,2020-10-01 7:10:24,2020-10-01 8:27:12,2020-10-01 8:39:02,wholesale
128,163488,2020-10-01 7:10:24,2020-10-01 7:33:40,2020-10-01 7:34:18,wholesale
128,163489,2020-10-01 7:14:16,2020-10-01 7:34:19,2020-10-01 7:35:13,wholesale
128,163490,2020-10-01 7:16:12,2020-10-01 7:35:14,2020-10-01 7:38:46,wholesale
153,163492,2020-10-01 7:20:24,2020-10-01 8:53:41,2020-10-01 8:57:02,wholesale
173,163493,2020-10-01 7:22:21,2020-10-01 7:41:38,2020-10-01 7:41:47,retail
173,163496,2020-10-01 7:28:23,2020-10-01 7:41:48,2020-10-01 7:43:59,retail
153,163497,2020-10-01 7:28:23,2020-10-01 8:39:03,2020-10-01 8:47:05,wholesale
153,163498,2020-10-01 7:30:18,2020-10-01 8:47:21,2020-10-01 8:53:41,wholesale
128,163499,2020-10-01 7:30:18,2020-10-01 7:39:02,2020-10-01 7:41:39,wholesale
128,163500,2020-10-01 7:30:18,2020-10-01 7:44:03,2020-10-01 7:45:34,wholesale
128,163501,2020-10-01 7:30:18,2020-10-01 7:45:35,2020-10-01 7:47:36,wholesale
141,163502,2020-10-01 7:32:16,2020-10-01 11:08:23,2020-10-01 11:14:15,retail
173,163503,2020-10-01 7:32:16,2020-10-01 7:44:00,2020-10-01 7:48:29,retail
128,163504,2020-10-01 7:32:16,2020-10-01 7:47:37,2020-10-01 7:49:33,wholesale
178,163505,2020-10-01 7:40:17,2020-10-01 7:41:35,2020-10-01 7:42:28,retail
161,163506,2020-10-01 7:40:17,2020-10-01 7:42:58,2020-10-01 8:01:44,wholesale
187,163507,2020-10-01 7:42:10,2020-10-01 10:43:04,2020-10-01 10:54:58,wholesale
128,163508,2020-10-01 7:44:20,2020-10-01 7:49:34,2020-10-01 7:50:27,wholesale
135,163509,2020-10-01 7:46:18,2020-10-01 9:12:57,2020-10-01 9:14:28,retail
135,163510,2020-10-01 7:46:18,2020-10-01 9:14:30,2020-10-01 9:16:45,retail
114,163512,2020-10-01 7:48:13,2020-10-01 10:36:49,2020-10-01 10:39:13,retail
135,163513,2020-10-01 8:02:20,2020-10-01 9:35:44,2020-10-01 9:36:52,retail
128,163514,2020-10-01 8:04:15,2020-10-01 8:06:53,2020-10-01 8:07:25,wholesale
135,163521,2020-10-01 8:14:13,2020-10-01 9:27:50,2020-10-01 9:31:45,retail
187,163522,2020-10-01 8:19:11,2020-10-01 9:05:40,2020-10-01 9:08:29,wholesale
114,163524,2020-10-01 8:22:16,2020-10-01 10:30:17,2020-10-01 10:36:45,retail
187,163526,2020-10-01 8:33:19,2020-10-01 9:08:32,2020-10-01 9:09:19,wholesale
141,163529,2020-10-01 8:38:17,2020-10-01 11:02:56,2020-10-01 11:08:22,retail
114,163531,2020-10-01 8:40:17,2020-10-01 9:16:56,2020-10-01 9:20:18,retail
135,163533,2020-10-01 8:46:18,2020-10-01 9:36:52,2020-10-01 9:39:33,retail
187,163536,2020-10-01 8:49:19,2020-10-01 9:28:05,2020-10-01 9:29:10,wholesale
187,163537,2020-10-01 8:51:18,2020-10-01 9:29:13,2020-10-01 9:30:15,wholesale
114,163538,2020-10-01 8:51:18,2020-10-01 9:15:05,2020-10-01 9:16:55,retail
178,163541,2020-10-01 8:54:17,2020-10-01 9:10:10,2020-10-01 9:11:26,retail
178,163542,2020-10-01 8:54:17,2020-10-01 8:57:55,2020-10-01 8:58:40,retail
187,163543,2020-10-01 8:54:18,2020-10-01 9:30:17,2020-10-01 9:31:45,wholesale
114,163545,2020-10-01 8:56:14,2020-10-01 9:20:20,2020-10-01 9:25:22,retail
161,163546,2020-10-01 8:56:14,2020-10-01 13:25:07,2020-10-01 13:27:59,wholesale
178,163547,2020-10-01 8:56:14,2020-10-01 9:09:31,2020-10-01 9:09:49,retail
187,163548,2020-10-01 9:00:30,2020-10-01 9:31:45,2020-10-01 9:32:37,wholesale
167,163550,2020-10-01 9:06:13,2020-10-01 12:43:49,2020-10-01 12:50:27,retail
141,163552,2020-10-01 9:10:24,2020-10-01 11:22:29,2020-10-01 11:26:42,retail
161,163553,2020-10-01 9:12:20,2020-10-01 13:41:44,2020-10-01 13:43:56,wholesale
129,163554,2020-10-01 9:14:13,2020-10-01 9:14:15,2020-10-01 9:17:08,wholesale
135,163556,2020-10-01 9:16:11,2020-10-01 9:39:33,2020-10-01 9:41:37,retail
135,163557,2020-10-01 9:16:11,2020-10-01 9:41:37,2020-10-01 9:43:09,retail
135,163558,2020-10-01 9:16:11,2020-10-01 9:43:10,2020-10-01 9:44:39,retail
135,163559,2020-10-01 9:18:22,2020-10-01 9:44:40,2020-10-01 9:46:23,retail
141,163560,2020-10-01 9:20:22,2020-10-01 11:26:49,2020-10-01 11:32:04,retail
187,163561,2020-10-01 9:22:16,2020-10-01 9:32:38,2020-10-01 9:33:35,wholesale
135,163563,2020-10-01 9:24:10,2020-10-01 9:46:24,2020-10-01 9:47:48,retail
135,163564,2020-10-01 9:26:10,2020-10-01 9:47:49,2020-10-01 9:49:33,retail
135,163565,2020-10-01 9:28:22,2020-10-01 9:49:34,2020-10-01 9:51:34,retail
135,163566,2020-10-01 9:29:09,2020-10-01 9:51:36,2020-10-01 9:56:32,retail
187,163568,2020-10-01 9:34:07,2020-10-01 10:04:26,2020-10-01 10:05:11,wholesale
187,163569,2020-10-01 9:34:07,2020-10-01 10:05:12,2020-10-01 10:06:09,wholesale
135,163571,2020-10-01 9:38:18,2020-10-01 9:56:32,2020-10-01 9:59:11,retail
114,163572,2020-10-01 9:38:19,2020-10-01 10:42:22,2020-10-01 10:45:02,retail
135,163573,2020-10-01 9:40:14,2020-10-01 9:59:12,2020-10-01 10:02:32,retail
135,163574,2020-10-01 9:42:08,2020-10-01 10:02:33,2020-10-01 10:05:14,retail
167,163575,2020-10-01 9:44:21,2020-10-01 12:50:28,2020-10-01 12:58:03,retail
187,163576,2020-10-01 9:46:18,2020-10-01 9:49:47,2020-10-01 10:03:47,wholesale
135,163577,2020-10-01 9:46:18,2020-10-01 10:05:14,2020-10-01 10:07:30,retail
135,163578,2020-10-01 9:48:13,2020-10-01 10:07:31,2020-10-01 10:11:16,retail
135,163579,2020-10-01 9:54:17,2020-10-01 10:11:17,2020-10-01 10:13:47,retail
135,163580,2020-10-01 9:54:17,2020-10-01 10:13:48,2020-10-01 10:15:36,retail
135,163581,2020-10-01 9:56:15,2020-10-01 10:15:37,2020-10-01 10:17:25,retail
135,163582,2020-10-01 9:56:15,2020-10-01 10:17:26,2020-10-01 10:19:23,retail
